wavenumber_cm_minus_1,transmittance,absorbance
6.710000000000000000e+02,8.656000000000000361e-01,6.268275223750575942e-02
6.720000000000000000e+02,8.676000000000000378e-01,6.168045665784432918e-02
6.730000000000000000e+02,8.696000000000000396e-01,6.068046892176185564e-02
6.740000000000000000e+02,8.717000000000000304e-01,5.963295401433476445e-02
6.750000000000000000e+02,8.720999999999999863e-01,5.943371350990980795e-02
6.760000000000000000e+02,8.697000000000000286e-01,6.063052992534010560e-02
6.770000000000000000e+02,8.671999999999999709e-01,6.188073080568830958e-02
6.780000000000000000e+02,8.648000000000000131e-01,6.308431905474606860e-02
6.790000000000000000e+02,8.621999999999999664e-01,6.439198148213072515e-02
6.800000000000000000e+02,8.585000000000000409e-01,6.625970050306467796e-02
6.810000000000000000e+02,8.548999999999999932e-01,6.808468291875389988e-02
6.820000000000000000e+02,8.511999999999999567e-01,6.996838504902705425e-02
6.830000000000000000e+02,8.471999999999999531e-01,7.201405290057143194e-02
6.840000000000000000e+02,8.413000000000000478e-01,7.504911108438934442e-02
6.850000000000000000e+02,8.358999999999999764e-01,7.784567476894116433e-02
6.860000000000000000e+02,8.322000000000000508e-01,7.977228854307147343e-02
6.870000000000000000e+02,8.286000000000000032e-01,8.165507103772508268e-02
6.880000000000000000e+02,8.249999999999999556e-01,8.354605145007493183e-02
6.890000000000000000e+02,8.214000000000000190e-01,8.544530148236637035e-02
6.900000000000000000e+02,8.176999999999999824e-01,8.740600224789431272e-02
6.910000000000000000e+02,8.141000000000000458e-01,8.932224525729473563e-02
6.920000000000000000e+02,8.104999999999999982e-01,9.124698081546625539e-02
6.930000000000000000e+02,8.056999999999999718e-01,9.382663635595138441e-02
6.940000000000000000e+02,8.002000000000000224e-01,9.680145295702162478e-02
6.950000000000000000e+02,7.946999999999999620e-01,9.979678698310656682e-02
6.960000000000000000e+02,7.891000000000000236e-01,1.028679566179056398e-01
6.970000000000000000e+02,7.833999999999999853e-01,1.060164327881529395e-01
6.980000000000000000e+02,7.778000000000000469e-01,1.091320611885590319e-01
6.990000000000000000e+02,7.752000000000000002e-01,1.105862359572910847e-01
7.000000000000000000e+02,7.732999999999999874e-01,1.116519898219510143e-01
7.010000000000000000e+02,7.727000000000000535e-01,1.119890877549712394e-01
7.020000000000000000e+02,7.734999999999999654e-01,1.115396819646136822e-01
7.030000000000000000e+02,7.741999999999999993e-01,1.111468330170637120e-01
7.040000000000000000e+02,7.782999999999999918e-01,1.088529695512289730e-01
7.050000000000000000e+02,7.820000000000000284e-01,1.067932469401519785e-01
7.060000000000000000e+02,7.871000000000000218e-01,1.039700876037729232e-01
7.070000000000000000e+02,7.922000000000000153e-01,1.011651619317258943e-01
7.080000000000000000e+02,7.972000000000000197e-01,9.843270997155000035e-02
7.090000000000000000e+02,8.023000000000000131e-01,9.566320779750497882e-02
7.100000000000000000e+02,8.103000000000000203e-01,9.135416109288665987e-02
7.110000000000000000e+02,8.165999999999999925e-01,8.799062441302167581e-02
7.120000000000000000e+02,8.268999999999999684e-01,8.254700807033653331e-02
7.130000000000000000e+02,8.336999999999999966e-01,7.899019850296566669e-02
7.140000000000000000e+02,8.374000000000000332e-01,7.706704344478831903e-02
7.150000000000000000e+02,8.381999999999999451e-01,7.665234350217449422e-02
7.160000000000000000e+02,8.275000000000000133e-01,8.223199755224364083e-02
7.170000000000000000e+02,7.800000000000000266e-01,1.079053973095195768e-01
7.180000000000000000e+02,7.802000000000000046e-01,1.077940540242274398e-01
7.190000000000000000e+02,7.849000000000000421e-01,1.051856709166992254e-01
7.200000000000000000e+02,8.117999999999999661e-01,9.055095301873340718e-02
7.210000000000000000e+02,8.074000000000000066e-01,9.291125492570442845e-02
7.220000000000000000e+02,7.983000000000000096e-01,9.783387072894872416e-02
7.230000000000000000e+02,7.885999999999999677e-01,1.031432272627956365e-01
7.240000000000000000e+02,7.862999999999999989e-01,1.044117243337371048e-01
7.250000000000000000e+02,7.864999999999999769e-01,1.043012730406943506e-01
7.260000000000000000e+02,7.872000000000000108e-01,1.039149145767148952e-01
7.270000000000000000e+02,7.858000000000000540e-01,1.046879755242126619e-01
7.280000000000000000e+02,7.895999999999999686e-01,1.025928603384197030e-01
7.290000000000000000e+02,7.910000000000000364e-01,1.018235165023234218e-01
7.300000000000000000e+02,7.924999999999999822e-01,1.010007291102109073e-01
7.310000000000000000e+02,7.940000000000000391e-01,1.001794975729037168e-01
7.320000000000000000e+02,7.954999999999999849e-01,9.935981601739968250e-02
7.330000000000000000e+02,7.974999999999999867e-01,9.826930827078127206e-02
7.340000000000000000e+02,7.993999999999999995e-01,9.723585607591392344e-02
7.350000000000000000e+02,8.014000000000000012e-01,9.615066190331901519e-02
7.360000000000000000e+02,8.042000000000000259e-01,9.463593123310769240e-02
7.370000000000000000e+02,8.076999999999999735e-01,9.274991711867158761e-02
7.380000000000000000e+02,8.111000000000000432e-01,9.092559859909565834e-02
7.390000000000000000e+02,8.145999999999999908e-01,8.905559425002111673e-02
7.400000000000000000e+02,8.191000000000000503e-01,8.666307406737677743e-02
7.410000000000000000e+02,8.239999999999999547e-01,8.407278830288422711e-02
7.420000000000000000e+02,8.288999999999999702e-01,8.149786036382622445e-02
7.430000000000000000e+02,8.426000000000000156e-01,7.437854520917101808e-02
7.440000000000000000e+02,8.457999999999999963e-01,7.273231918911841898e-02
7.450000000000000000e+02,8.489999999999999769e-01,7.109230975604734215e-02
7.460000000000000000e+02,8.512999999999999456e-01,6.991736660762880307e-02
7.470000000000000000e+02,8.528000000000000025e-01,6.915280831750295065e-02
7.480000000000000000e+02,8.544000000000000483e-01,6.833876031551877617e-02
7.490000000000000000e+02,8.558999999999999941e-01,6.757697362326119117e-02
7.500000000000000000e+02,8.574000000000000510e-01,6.681652082538611093e-02
7.510000000000000000e+02,8.588999999999999968e-01,6.605739725873893686e-02
7.520000000000000000e+02,8.598999999999999977e-01,6.555205105102994423e-02
7.530000000000000000e+02,8.605000000000000426e-01,6.524912533642091006e-02
7.540000000000000000e+02,8.611999999999999655e-01,6.489597884855043131e-02
7.550000000000000000e+02,8.618999999999999995e-01,6.454311928839009949e-02
7.560000000000000000e+02,8.625000000000000444e-01,6.424089625468824838e-02
7.570000000000000000e+02,8.629999999999999893e-01,6.398920428479040745e-02
7.580000000000000000e+02,8.629000000000000004e-01,6.403953101083353916e-02
7.590000000000000000e+02,8.627000000000000224e-01,6.414020196211955849e-02
7.600000000000000000e+02,8.626000000000000334e-01,6.419054619006710205e-02
7.610000000000000000e+02,8.625000000000000444e-01,6.424089625468824838e-02
7.620000000000000000e+02,8.624000000000000554e-01,6.429125215733648424e-02
7.630000000000000000e+02,8.622999999999999554e-01,6.434161389936586539e-02
7.640000000000000000e+02,8.621999999999999664e-01,6.439198148213072515e-02
7.650000000000000000e+02,8.618999999999999995e-01,6.454311928839009949e-02
7.660000000000000000e+02,8.621999999999999664e-01,6.439198148213072515e-02
7.670000000000000000e+02,8.627000000000000224e-01,6.414020196211955849e-02
7.680000000000000000e+02,8.630999999999999783e-01,6.393888339001153887e-02
